date,registration,cause
"Dec 19, 2020",N326TD,Human factor
"Dec 13, 2020",N686TM,Human factor
"Dec 9, 2020",UR-33642,Human factor
"Dec 5, 2020",N484AR,Human factor
"Dec 4, 2020",HB-LUV,Human factor
"Dec 2, 2020",N48DK,Human factor
"Nov 9, 2020",XA-VD?,Human factor
"Oct 29, 2020",N461AR,Human factor
"Oct 10, 2020",N96358,Human factor
"Oct 8, 2020",N8132Q,Human factor
"Oct 5, 2020",N898BB,Human factor
"Oct 2, 2020",N965DM,Human factor
"Sep 23, 2020",XB-PYZ,Human factor
"Sep 21, 2020",XA-DOC,Human factor
"Sep 20, 2020",T7-SKY,Human factor
"Sep 19, 2020",N7946C,Human factor
"Sep 16, 2020",N972DD,Human factor
"Sep 7, 2020",PR-AUR,Human factor
"Aug 29, 2020",XB-OAP,Human factor
"Aug 28, 2020",N900DT,Human factor
"Aug 23, 2020",XB-DRA,Human factor
"Aug 13, 2020",9S-GEN,Human factor
"Aug 10, 2020",N400RS,Human factor
"Aug 8, 2020",EC-HET,Human factor
"Aug 7, 2020",VT-AXH,Human factor
"Aug 1, 2020",C-GXKS,Human factor
"Aug 1, 2020",N17JE,Human factor
"Jul 31, 2020",N4982U,Human factor
"Jul 26, 2020",VH-TSI,Human factor
"Jul 20, 2020",N740P,Human factor
"Jul 19, 2020",RA-71276,Human factor
"Jul 13, 2020",RA-40851,Human factor
"Jul 5, 2020",N2106K,Human factor
"Jun 15, 2020",N27SL,Human factor
"Jun 8, 2020",94-6706,Human factor
"Jun 7, 2020",N44MX,Human factor
"Jun 5, 2020",N135VE,Human factor
"May 28, 2020",N909AK,Human factor
"May 28, 2020",N720PT,Human factor
"May 22, 2020",AP-BLD,Human factor
"May 9, 2020",N4661N,Human factor
"May 5, 2020",LV-BXU,Human factor
"May 4, 2020",5Y-AXO,Human factor
"Apr 24, 2020",ZK-LTK,Human factor
"Apr 19, 2020",N700NW,Human factor
"Apr 13, 2020",PP-XLD,Human factor
"Mar 29, 2020",RP-C5880,Human factor
"Mar 22, 2020",XB-PNK,Human factor
"Mar 17, 2020",N274PM,Human factor
"Mar 11, 2020",VH-OZO,Human factor
"Mar 5, 2020",N706FX,Human factor
"Feb 25, 2020",N135LR,Human factor
"Feb 20, 2020",N163TC,Human factor
"Feb 20, 2020",N860J,Human factor
"Feb 9, 2020",VQ-BPS,Human factor
"Feb 8, 2020",N501RG,Human factor
"Feb 6, 2020",N24MG,Human factor
"Jan 29, 2020",N50JR,Human factor
"Jan 28, 2020",N6071R,Human factor
"Jan 27, 2020",11-9358,Human factor
"Jan 27, 2020",EP-CPZ,Human factor
"Jan 23, 2020",ZS-CAR,Human factor
"Dec 28, 2019",N42CV,Human factor
"Dec 18, 2019",N72MM,Human factor
"Dec 14, 2019",VH-IAZ,Human factor
"Dec 9, 2019",N4602B,Human factor
"Dec 2, 2019",PP-BSS,Human factor
"Dec 2, 2019",XB-PGP,Human factor
"Nov 30, 2019",N56KJ,Human factor
"Nov 29, 2019",N4087G,Human factor
"Nov 23, 2019",XB-PYB,Human factor
"Nov 21, 2019",TC-JGZ,Human factor
"Nov 14, 2019",PT-LTJ,Human factor
"Oct 29, 2019",N959MJ,Human factor
"Oct 17, 2019",N686PA,Human factor
"Oct 14, 2019",N850NK,Human factor
"Oct 5, 2019",N326CW,Human factor
"Oct 4, 2019",UR-CAH,Human factor
"Oct 3, 2019",N700AQ,Human factor
"Oct 2, 2019",N93012,Human factor
"Sep 30, 2019",XB-PVO,Human factor
"Sep 29, 2019",N731PF,Human factor
"Sep 11, 2019",D-FIDI,Human factor
"Aug 31, 2019",N551WH,Human factor
"Aug 30, 2019",RA-33061,Human factor
"Aug 27, 2019",VT-AVV,Human factor
"Aug 21, 2019",N91GY,Human factor
"Aug 15, 2019",N8JR,Human factor
"Aug 6, 2019",CC-ANR,Human factor
"Aug 6, 2019",C-FSKF,Human factor
"Aug 2, 2019",F-ZBAA,Human factor
"Aug 1, 2019",N451CE,Human factor
"Jul 26, 2019",C-GURL,Human factor
"Jul 20, 2019",AP-BHP,Human factor
"Jul 17, 2019",N320JT,Human factor
"Jul 14, 2019",SE-MES,Human factor
"Jul 12, 2019",C-GRHF,Human factor
"Jul 11, 2019",C-FBBG,Human factor
"Jul 8, 2019",N9448B,Human factor
"Jul 1, 2019",VT-SYK,Human factor
"Jun 30, 2019",N534FF,Human factor
"Jun 21, 2019",N256TA,Human factor
"Jun 20, 2019",UP-A0116,Human factor
"Jun 9, 2019",RA-81519,Human factor
"May 22, 2019",N311G,Human factor
"May 20, 2019",N67667,Human factor
"May 13, 2019",N952DB,Human factor
"May 13, 2019",N959PA,Human factor
"May 8, 2019",S2-AGQ,Human factor
"May 5, 2019",RA-89098,Human factor
"May 5, 2019",N102SN,Human factor
"May 1, 2019",N757NY,Human factor
"Apr 24, 2019",C-FRMV,Human factor
"Apr 24, 2019",D-IADV,Human factor
"Apr 23, 2019",N366TA,Human factor
"Apr 18, 2019",N65MY,Human factor
"Apr 16, 2019",CC-CYR,Human factor
"Apr 14, 2019",9N-AMH,Human factor
"Apr 13, 2019",N2613,Human factor
"Apr 5, 2019",YV312,Human factor
"Apr 1, 2019",PT-FEG,Human factor
"Mar 31, 2019",RA-2151G,Human factor
"Mar 23, 2019",A2-MBM,Human factor
"Mar 22, 2019",N990PA,Human factor
"Mar 12, 2019",N400JM,Human factor
"Mar 10, 2019",N18BA,Human factor
"Mar 4, 2019",N14171,Human factor
"Feb 28, 2019",N428CD,Human factor
"Feb 26, 2019",4K-AZ88,Human factor
"Feb 23, 2019",N1217A,Human factor
"Feb 15, 2019",N421NS,Human factor
"Feb 9, 2019",PR-RTA,Human factor
"Feb 8, 2019",N145GT,Human factor
"Feb 6, 2019",N997MA,Human factor
"Feb 3, 2019",N414RS,Human factor
"Jan 14, 2019",EP-CPP,Human factor
"Dec 20, 2018",N188CW,Human factor
"Dec 8, 2018",VH-OBL,Human factor
"Dec 6, 2018",167981,Human factor
"Nov 30, 2018",N941JM,Human factor
"Nov 26, 2018",PP-OEG,Human factor
"Nov 18, 2018",N441CX,Human factor
"Nov 7, 2018",N908AR,Human factor
"Oct 21, 2018",N413LL,Human factor
"Oct 10, 2018",RA-89011,Human factor
"Oct 3, 2018",7706,Human factor
"Oct 3, 2018",,Human factor
"Sep 28, 2018",P2-PXE,Human factor
"Sep 27, 2018",VH-FAY,Human factor
"Sep 25, 2018",N241CK,Human factor
"Sep 20, 2018",N121AK,Human factor
"Sep 15, 2018",PR-RFB,Human factor
"Sep 9, 2018",UR-TWO,Human factor
"Sep 6, 2018",C-GLKX,Human factor
"Sep 6, 2018",PT-LJN,Human factor
"Sep 5, 2018",PR-GVJ,Human factor
"Sep 1, 2018",VQ-BJI,Human factor
"Aug 30, 2018",N1876L,Human factor
"Aug 21, 2018",F-HGPS,Human factor
"Aug 16, 2018",B-5498,Human factor
"Aug 13, 2018",N526CP,Human factor
"Aug 11, 2018",PK-HVQ,Human factor
"Aug 10, 2018",N449QX,Human factor
"Aug 5, 2018",N727RP,Human factor
"Aug 4, 2018",HB-HOT,Human factor
"Aug 1, 2018",C-FNCI,Human factor
"Jul 30, 2018",C-GRRS,Human factor
"Jul 21, 2018",N47HL,Human factor
"Jul 18, 2018",N9878R,Human factor
"Jul 16, 2018",N1822M,Human factor
"Jul 10, 2018",N3952B,Human factor
"Jun 28, 2018",VT-UPZ,Human factor
"Jun 24, 2018",3X-AAK,Human factor
"Jun 14, 2018",UR-CPR,Human factor
"Jun 13, 2018",N91038,Human factor
"Jun 6, 2018",YR-DAX,Human factor
"Jun 6, 2018",D-IULI,Human factor
"Jun 5, 2018",5Y-CAC,Human factor
"Jun 4, 2018",VH-XMH,Human factor
"Jun 3, 2018",D-GATA,Human factor
"May 30, 2018",5X-MRH,Human factor
"May 22, 2018",N813WM,Human factor
"May 20, 2018",B-8129,Human factor
"May 18, 2018",XA-UHZ,Human factor
"May 16, 2018",9N-AJU,Human factor
"May 13, 2018",G-KNYS,Human factor
"May 2, 2018",65-0968,Human factor
"Apr 26, 2018",N87266,Human factor
"Apr 15, 2018",N525P,Human factor
"Apr 11, 2018",N814GV,Human factor
"Apr 2, 2018",N511AC,Human factor
"Mar 16, 2018",N213AV,Human factor
"Mar 15, 2018",YV3284,Human factor
"Mar 12, 2018",S2-AGU,Human factor
"Mar 4, 2018",9S-ASG,Human factor
"Mar 1, 2018",N77MM,Human factor
"Feb 28, 2018",ES-SAN,Human factor
"Feb 27, 2018",N969TB,Human factor
"Feb 23, 2018",C-GIAE,Human factor
"Feb 18, 2018",N700VX,Human factor
"Feb 18, 2018",EP-ATS,Human factor
"Feb 11, 2018",RA-61704,Human factor
"Jan 25, 2018",5N-BTF,Human factor
"Jan 2, 2018",ZU-MDI,Human factor
"Dec 31, 2017",VH-NOO,Human factor
"Dec 31, 2017",TI-BEI,Human factor
"Dec 27, 2017",N525KT,Human factor
"Dec 24, 2017",N247AT,Human factor
"Dec 23, 2017",P2-ISM,Human factor
"Dec 20, 2017",HK-4417,Human factor
"Dec 19, 2017",RA-01460,Human factor
"Dec 8, 2017",N19LW,Human factor
"Dec 5, 2017",N500KR,Human factor
"Nov 22, 2017",ZS-CBI,Human factor
"Nov 17, 2017",V3-HGX,Human factor
"Nov 15, 2017",5H-EGG,Human factor
"Nov 10, 2017",N154KQ,Human factor
"Nov 5, 2017",N893CA,Human factor
"Oct 19, 2017",OB-2077-P,Human factor
"Oct 18, 2017",N900CR,Human factor
"Oct 17, 2017",PR-MPE,Human factor
"Oct 14, 2017",ER-AVB,Human factor
"Oct 4, 2017",UP-A2807,Human factor
"Oct 4, 2017",N401HH,Human factor
"Sep 23, 2017",N73MA,Human factor
"Sep 13, 2017",XB-OUE,Human factor
"Sep 4, 2017",,Human factor
"Sep 2, 2017",RA-35171,Human factor
"Aug 19, 2017",N7108,Human factor
"Aug 14, 2017",N702AV,Human factor
"Aug 3, 2017",PK-WFF,Human factor
"Jul 29, 2017",UR-CKC,Human factor
"Jul 25, 2017",8R-GRA,Human factor
"Jul 24, 2017",LV-MCV,Human factor
"Jul 3, 2017",N9620M,Human factor
"Jun 27, 2017",UR-19717,Human factor
"Jun 26, 2017",N207GM,Human factor
"Jun 13, 2017",N48TA,Human factor
"Jun 11, 2017",HK-4833,Human factor
"Jun 3, 2017",5Y-FMM,Human factor
"Jun 2, 2017",XA-UAJ,Human factor
"May 30, 2017",VH-XMJ,Human factor
"May 30, 2017",RF-36160,Human factor
"May 27, 2017",9N-AKY,Human factor
"May 26, 2017",C-GFPX,Human factor
"May 24, 2017",N708PV,Human factor
"May 17, 2017",XA-VMC,Human factor
"May 15, 2017",N452DA,Human factor
"May 15, 2017",N220N,Human factor
"May 5, 2017",N334AC,Human factor
"May 3, 2017",C-GQAM,Human factor
"May 1, 2017",N803TH,Human factor
"Apr 30, 2017",C-FQQB,Human factor
"Apr 28, 2017",N933DC,Human factor
"Apr 25, 2017",N421TK,Human factor
"Apr 12, 2017",PK-FSO,Human factor
"Apr 9, 2017",HP-1928,Human factor
"Mar 31, 2017",PP-EPB,Human factor
"Mar 27, 2017",C9-AOV,Human factor
"Mar 24, 2017",N8DX,Human factor
"Mar 20, 2017",S9-TLZ,Human factor
"Mar 14, 2017",08-0724,Human factor
"Mar 8, 2017",N8TS,Human factor
"Mar 4, 2017",N39AG,Human factor
"Mar 4, 2017",N421KL,Human factor
"Feb 27, 2017",C-GWVS,Human factor
"Feb 21, 2017",VH-ZCR,Human factor
"Feb 14, 2017",N313HS,Human factor
"Feb 14, 2017",N1551C,Human factor
"Jan 27, 2017",N60RA,Human factor
"Jan 26, 2017",VH-CQA,Human factor
"Jan 23, 2017",N385KA,Human factor
"Jan 19, 2017",PR-SOM,Human factor
"Jan 16, 2017",N525PZ,Human factor
"Jan 16, 2017",TC-MCL,Human factor
"Dec 29, 2016",N614SB,Human factor
"Dec 27, 2016",N669WR,Human factor
"Dec 25, 2016",PK-WGW,Human factor
"Dec 25, 2016",RA-85572,Human factor
"Dec 20, 2016",HK-4544,Human factor
"Dec 19, 2016",RF-91821,Human factor
"Dec 13, 2016",VH-MVL,Human factor
"Dec 12, 2016",ZK-JPU,Human factor
"Dec 12, 2016",N772RT,Human factor
"Dec 10, 2016",JY-JAQ,Human factor
"Dec 5, 2016",N765FA,Human factor
"Dec 4, 2016",N332SE,Human factor
"Nov 29, 2016",N633D,Human factor
"Nov 28, 2016",CP-2933,Human factor
"Nov 24, 2016",D-IFBU,Human factor
"Nov 23, 2016",N80RT,Human factor
"Oct 31, 2016",PK-SWW,Human factor
"Oct 30, 2016",N411HA,Human factor
"Oct 28, 2016",N5308F,Human factor
"Oct 23, 2016",N644B,Human factor
"Oct 21, 2016",PR-STN,Human factor
"Oct 20, 2016",N601UK,Human factor
"Oct 17, 2016",N20NR,Human factor
"Oct 15, 2016",M-VNTR,Human factor
"Oct 11, 2016",RA-26660,Human factor
"Oct 10, 2016",C-GEWG,Human factor
"Oct 9, 2016",OB-1936-P,Human factor
"Oct 2, 2016",N208SD,Human factor
"Sep 30, 2016",HK-3804,Human factor
"Sep 30, 2016",N6781L,Human factor
"Sep 21, 2016",N66804,Human factor
"Sep 13, 2016",PK-YSY,Human factor
"Sep 10, 2016",N369CD,Human factor
"Sep 7, 2016",N465JM,Human factor
"Aug 31, 2016",N752RV,Human factor
"Aug 14, 2016",N447SA,Human factor
"Aug 8, 2016",N95RC,Human factor
"Aug 5, 2016",HA-FAX,Human factor
"Aug 3, 2016",A6-EMW,Human factor
"Aug 2, 2016",N2735A,Human factor
"Jul 31, 2016",RA-54790,Human factor
"Jul 26, 2016",N362FX,Human factor
"Jul 20, 2016",B-10FW,Human factor
"Jul 17, 2016",C-FCGW,Human factor
"Jun 30, 2016",RA-33462,Human factor
"Jun 20, 2016",N127WD,Human factor
"Jun 19, 2016",EP-MOF,Human factor
"Jun 17, 2016",N91170,Human factor
"Jun 16, 2016",N3591P,Human factor
"Jun 11, 2016",S5-CMB,Human factor
"Jun 3, 2016",5Y-JLL,Human factor
"Apr 28, 2016",HC-COX,Human factor
"Apr 26, 2016",N3372Q,Human factor
"Apr 24, 2016",EC-GFK,Human factor
"Apr 21, 2016",PT-MCM,Human factor
"Apr 20, 2016",C-FEVA,Human factor
"Apr 19, 2016",N7MC,Human factor
"Apr 13, 2016",P2-SBC,Human factor
"Apr 9, 2016",N122PM,Human factor
"Apr 6, 2016",49-3043,Human factor
"Apr 4, 2016",PK-TNJ,Human factor
"Apr 3, 2016",RA-54828,Human factor
"Mar 29, 2016",N246W,Human factor
"Mar 19, 2016",A6-FDN,Human factor
"Mar 18, 2016",PP-JBL,Human factor
"Mar 18, 2016",N6239X,Human factor
"Mar 14, 2016",N465FL,Human factor
"Mar 9, 2016",S2-AGZ,Human factor
"Mar 2, 2016",N6464,Human factor
"Feb 24, 2016",9N-AHH,Human factor
"Feb 6, 2016",RA-40204,Human factor
"Feb 1, 2016",PP-LIG,Human factor
"Jan 30, 2016",N380CF,Human factor
"Jan 29, 2016",V5-MJW,Human factor
"Jan 28, 2016",EP-ZAB,Human factor
"Jan 28, 2016",VH-WTY,Human factor
"Jan 18, 2016",N711BX,Human factor
"Jan 6, 2016",N978AF,Human factor
"Jan 3, 2016",PP-LMM,Human factor
"Jan 2, 2016",N540ME,Human factor
"Dec 24, 2015",N891CR,Human factor
"Dec 23, 2015",XA-MEX,Human factor
"Dec 22, 2015",VT-BSA,Human factor
"Dec 21, 2015",PK-KDC,Human factor
"Dec 15, 2015",N649SW,Human factor
"Dec 10, 2015",N145JR,Human factor
"Dec 8, 2015",D-IBEL,Human factor
"Nov 26, 2015",XA-UNM,Human factor
"Nov 22, 2015",EX-37005,Human factor
"Nov 21, 2015",C6-TAK,Human factor
"Nov 17, 2015",HK-4981G,Human factor
"Nov 16, 2015",XA-UQP,Human factor
"Nov 14, 2015",N186CB,Human factor
"Nov 10, 2015",N237WR,Human factor
"Nov 9, 2015",N164GP,Human factor
"Nov 3, 2015",AP-BJO,Human factor
"Oct 26, 2015",N55GK,Human factor
"Oct 26, 2015",ZS-OAA,Human factor
"Oct 23, 2015",OB-2040-P,Human factor
"Oct 15, 2015",N224MS,Human factor
"Oct 14, 2015",N33FA,Human factor
"Oct 14, 2015",PR-MIC,Human factor
"Oct 12, 2015",SU-BMZ,Human factor
"Oct 3, 2015",G-BYCP,Human factor
"Oct 2, 2015",PK-BRM,Human factor
"Oct 2, 2015",08-3174,Human factor
"Sep 30, 2015",LX-LGH,Human factor
"Sep 25, 2015",VH-FGK,Human factor
"Sep 24, 2015",YU-BSW,Human factor
"Sep 21, 2015",N222JS,Human factor
"Sep 15, 2015",C-FXLO,Human factor
"Sep 15, 2015",N928RK,Human factor
"Sep 11, 2015",N164HH,Human factor
"Sep 5, 2015",6V-AIM,Human factor
"Aug 31, 2015",D-ESPE,Human factor
"Aug 28, 2015",PK-BBY,Human factor
"Aug 26, 2015",YV3125,Human factor
"Aug 23, 2015",C-FKRJ,Human factor
"Aug 21, 2015",N120EA,Human factor
"Aug 20, 2015",OM-SAB,Human factor
"Aug 20, 2015",OM-ODQ,Human factor
"Aug 16, 2015",C-FDOR,Human factor
"Aug 16, 2015",PK-YRN,Human factor
"Aug 16, 2015",N442RM,Human factor
"Aug 16, 2015",V5-NRS,Human factor
"Aug 12, 2015",PK-KIG,Human factor
"Aug 9, 2015",N610LC,Human factor
"Aug 9, 2015",N726JB,Human factor
"Aug 8, 2015",HK-4990,Human factor
"Aug 7, 2015",N819TB,Human factor
"Aug 1, 2015",YR-PEG,Human factor
"Jul 31, 2015",HZ-IBN,Human factor
"Jul 29, 2015",N425KJ,Human factor
"Jul 27, 2015",2326,Human factor
"Jul 26, 2015",JA4060,Human factor
"Jul 24, 2015",XY-AIH,Human factor
"Jul 22, 2015",N4BP,Human factor
"Jul 17, 2015",N62AK,Human factor
"Jul 2, 2015",8Q-MAN,Human factor
"Jun 25, 2015",N270PA,Human factor
"Jun 20, 2015",HK-4677-G,Human factor
"Jun 8, 2015",N497AG,Human factor
"Jun 7, 2015",PR-AVG,Human factor
"May 30, 2015",N1653U,Human factor
"May 7, 2015",N962DA,Human factor
"Apr 24, 2015",XA-BLU,Human factor
"Apr 14, 2015",HL7762,Human factor
"Apr 13, 2015",C-GSKC,Human factor
"Apr 7, 2015",N789UP,Human factor
"Apr 3, 2015",RA-74056,Human factor
"Mar 29, 2015",C-FTJP,Human factor
"Mar 25, 2015",UR-62681,Human factor
"Mar 24, 2015",D-AIPX,Human factor
"Mar 19, 2015",LV-CEO,Human factor
"Mar 8, 2015",VT-SUA,Human factor
"Mar 5, 2015",N909DL,Human factor
"Mar 4, 2015",TC-JOC,Human factor
"Feb 22, 2015",C-GVZW,Human factor
"Feb 4, 2015",N441TG,Human factor
"Feb 4, 2015",N301D,Human factor
"Feb 4, 2015",B-22816,Human factor
"Feb 2, 2015",SX-DIA,Human factor
"Jan 30, 2015",N246PR,Human factor
"Jan 18, 2015",YK-AND,Human factor
"Jan 17, 2015",RP-C9363,Human factor
"Jan 15, 2015",D-EMBZ,Human factor
"Jan 3, 2015",RA-26082,Human factor
"Dec 24, 2014",HK-4892,Human factor
"Dec 12, 2014",UP-AN608,Human factor
"Dec 8, 2014",N100EQ,Human factor
"Dec 3, 2014",N340JC,Human factor
"Nov 24, 2014",N103CD,Human factor
"Nov 23, 2014",N14AV,Human factor
"Nov 21, 2014",N584JS,Human factor
"Nov 20, 2014",PNP-248,Human factor
"Nov 18, 2014",N30MB,Human factor
"Nov 9, 2014",N17UF,Human factor
"Oct 30, 2014",N52SZ,Human factor
"Oct 29, 2014",N380MQ,Human factor
"Oct 20, 2014",F-GLSA,Human factor
"Oct 13, 2014",N9126V,Human factor
"Oct 12, 2014",1405,Human factor
"Oct 5, 2014",N536EM,Human factor
"Sep 25, 2014",N211PC,Human factor
"Sep 20, 2014",P2-KSF,Human factor
"Sep 14, 2014",LV-WLT,Human factor
"Sep 10, 2014",N711YM,Human factor
"Sep 3, 2014",N747TH,Human factor
"Aug 31, 2014",N228LL,Human factor
"Aug 27, 2014",N51RX,Human factor
"Aug 18, 2014",N340MM,Human factor
"Aug 16, 2014",C-GKWE,Human factor
"Aug 15, 2014",N127BC,Human factor
"Aug 13, 2014",PR-AFA,Human factor
"Aug 1, 2014",N472ST,Human factor
"Jul 26, 2014",N248SP,Human factor
"Jul 24, 2014",EC-LTV,Human factor
"Jul 23, 2014",B-22810,Human factor
"Jul 19, 2014",P2-RNB,Human factor
"Jul 6, 2014",8R-GGY,Human factor
"Jul 2, 2014",5Y-CET,Human factor
"Jun 25, 2014",N800MK,Human factor
"Jun 23, 2014",D-CGFI,Human factor
"Jun 18, 2014",N2428Q,Human factor
"Jun 18, 2014",N793BG,Human factor
"Jun 17, 2014",N888GG,Human factor
"Jun 13, 2014",N5335R,Human factor
"Jun 13, 2014",PP-PIM,Human factor
"Jun 8, 2014",SP-FDZ,Human factor
"May 31, 2014",N121JM,Human factor
"May 27, 2014",LV-CNT,Human factor
"May 17, 2014",N40TC,Human factor
"May 10, 2014",N7311U,Human factor
"May 8, 2014",YA-PIB,Human factor
"May 8, 2014",HK-4700,Human factor
"May 3, 2014",C-GSVM,Human factor
"Apr 19, 2014",XA-UKR,Human factor
"Apr 9, 2014",PK-SDF,Human factor
"Apr 8, 2014",N126AR,Human factor
"Mar 27, 2014",VT-HRA,Human factor
"Mar 22, 2014",N702H,Human factor
"Mar 19, 2014",N90464,Human factor
"Mar 15, 2014",N303W,Human factor
"Mar 14, 2014",N419AR,Human factor
