date,category,type,operator,yom,engine,engine_model,flight_phase,flight_type,site,location,country,region,latitude,longitude,aircraft_damage,occupants,fatalities,other_fatalities,cause
1992-07-05,Unknown,Shaanxi Y-8,Sri Lanka Air Force,1988,Unknown,Unknown,Flight,Military,"Plain, Valley","Iyakachchi, Northern Province (வட மாகாணம்)",Sri Lanka,Asia,9.5692273,80.4075417,Unknown,19,19,0,"Terrorism act, hijacking, sabotage, any kind of hostile action"
1992-07-08,Accident,PZL-Mielec AN-2,Aeroflot - Russian International Airlines,1976,1 Piston engine,Unknown,Flight,Scheduled Revenue Flight,"Plain, Valley","Ukrainskyi, Tula oblast",Russia,Asia,64.6863136,97.7453061,Destroyed,0,0,0,Unknown
1992-07-09,Accident,Cessna 650 Citation III,Chilean Air Force - Fuerza Aérea de Chile,1984,Multi Jet Engines,Unknown,Landing (descent or approach),Military,Airport (less than 10 km from airport),"Concepción, Región del Biobío",Chile,South America,-36.8270698,-73.0502064,Destroyed,3,3,0,Human factor
1992-07-09,Unknown,Mitsubishi MU-2 Marquise,Richard R. Hough (RRH Inc.),1981,Unknown,Unknown,Takeoff (climb),Private,Airport (less than 10 km from airport),"Concord, New Hampshire",United States of America,North America,43.207178,-71.537476,Unknown,2,2,0,Human factor
1992-07-10,Unknown,Dornier DO.28D Skyservant,German Air Force - Deutsche Luftwaffe,1972,Unknown,Unknown,Landing (descent or approach),Training,Airport (less than 10 km from airport),"Büchel AFB, Rhineland-Palatinate",Germany,Europe,51.1638175,10.4478313,Unknown,2,2,0,Unknown
1992-07-11,Unknown,Beechcraft H18,PacificAir - Pacific Airways,1965,Unknown,Unknown,Takeoff (climb),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Cagayán de Oro-Lumbia, Misamis Oriental",Philippines,Asia,12.7503486,122.7312101,Unknown,4,0,0,Technical failure
1992-07-13,Accident,Short SC.7 Skyvan Variant,Arctic Circle Air Service,1973,Multi Turboprop Engines,Garrett TPE331-2-201A,Takeoff (climb),Cargo,Airport (less than 10 km from airport),"Bethel, Alaska",United States of America,North America,60.7922222,-161.755833,Destroyed,1,1,0,Other causes
1992-07-14,Unknown,Antonov AN-12,Yemeni Air Force,1973,Unknown,Unknown,Landing (descent or approach),Military,Airport (less than 10 km from airport),"Sana'a, Sana'a (صنعاء)",Yemen,Asia,15.3538569,44.2058841,Unknown,58,58,0,Unknown
1992-07-14,Unknown,Antonov AN-12,Yemeni Air Force,1973,Unknown,Unknown,Landing (descent or approach),Military,Airport (less than 10 km from airport),"Sana'a, Sana'a (صنعاء)",Yemen,Asia,15.3538569,44.2058841,Unknown,58,58,0,Unknown
1992-07-14,Unknown,Antonov AN-12,Russian Air Force - Voyenno-vozdushnye sily Rossii,1973,Unknown,Unknown,Takeoff (climb),Military,Airport (less than 10 km from airport),"Nakhchivan, Nakhchivan",Azerbaijan,Asia,39.217497,45.4069671,Unknown,34,29,0,Unknown
1992-07-14,Accident,Antonov AN-12,Magadan Cargo Airlines (Magadanaerogruz),1971,Multi Turboprop Engines,Ivchenko AI-20M,Flight,Cargo,"Plain, Valley","Irkutsk, Irkutsk oblast",Russia,Asia,52.2891225,104.279829,Destroyed,7,0,0,Technical failure
1992-07-14,Unknown,Antonov AN-12,Russian Air Force - Voyenno-vozdushnye sily Rossii,1973,Unknown,Unknown,Takeoff (climb),Military,Airport (less than 10 km from airport),"Nakhchivan, Nakhchivan",Azerbaijan,Asia,39.217497,45.4069671,Unknown,34,29,0,Unknown
1992-07-14,Unknown,Beriev Be-12,TANTK - Taganrog ANTK,1969,Unknown,Unknown,Landing (descent or approach),Fire fighting,"Lake, Sea, Ocean, River","Veshenskaya, Rostov oblast",Russia,Asia,49.628994,41.725105,Unknown,4,0,0,Other causes
1992-07-15,Unknown,Canadair CL-215,Hellenic Air Force - Elleniki Polemiki Aeroporia,1983,Unknown,Unknown,Landing (descent or approach),Fire fighting,"Lake, Sea, Ocean, River","Isthmia, Peloponnese / Πελοπόννησος",Greece,Europe,37.9196574,23.0084241,Unknown,2,0,0,Unknown
1992-07-16,Accident,Short 330,United States Air Force - USAF (since 1947),1985,Multi Turboprop Engines,Unknown,Flight,Training,"Plain, Valley","Colquitt, Georgia",United States of America,North America,31.1803601,-83.7696152,Destroyed,3,3,0,Unknown
1992-07-20,Accident,Tupolev TU-154,Transair Georgia Airlines,1977,Multi Jet Engines,Kuznetsov NK-8-2U,Takeoff (climb),Cargo,City,"Tbilisi-Shota-Rustaveli (ex Novo Alekseyevka), Tbilisi City District",Georgia,Asia,41.6808672,44.0287806,Destroyed,24,24,4,Other causes
1992-07-20,Unknown,Cessna 207 Skywagon/Stationair,MarkAir Express,1984,Unknown,Unknown,Flight,Cargo,Mountains,"Dillingham, Alaska",United States of America,North America,59.0398598,-158.4604177,Unknown,1,0,0,Human factor
1992-07-22,Accident,De Havilland DHC-3 Otter,Woods Air Service - Woods Air Fuel,1960,1 Piston engine,Pratt & Whitney R-1340-AN2,Flight,Charter/Taxi (Non Scheduled Revenue Flight),"Plain, Valley","McGrath, Alaska",United States of America,North America,62.9563889,-155.595833,"Substantial, repaired",2,0,0,Technical failure
1992-07-23,Unknown,Rockwell Aero Commander 560,McLaughlin Construction Company,1964,Unknown,Unknown,Flight,Executive/Corporate/Business,"Plain, Valley","Manville, Wyoming",United States of America,North America,42.7791338,-104.617736,Unknown,4,4,0,Weather
1992-07-24,Accident,Vickers Viscount,Mandala Airlines,1959,Multi Turboprop Engines,Unknown,Landing (descent or approach),Scheduled Revenue Flight,Mountains,"Ambon-Pattimura, Maluku",Indonesia,Asia,-3.6938585,128.1836046358344,Destroyed,70,70,0,Human factor
1992-07-24,Accident,Antonov AN-12,Volga-Dnepr Airlines,1970,Multi Turboprop Engines,Ivchenko AI-20M,Landing (descent or approach),Positioning,Mountains,"Skopje, Skopje City District",Macedonia,Europe,41.6171214,21.7168387,Destroyed,8,8,0,Human factor
1992-07-26,Unknown,Lockheed C-130 Hercules,Sudanese Air Force - Al Quwwat al-Jawwiya As-Sudaniya,1973,Unknown,Unknown,Landing (descent or approach),Military,Airport (less than 10 km from airport),"Juba, Central Equatoria (الاستوائية الوسطى)",South Sudan,Africa,4.8459246,31.5959173,Unknown,0,0,0,Unknown
1992-07-27,Accident,Vickers Viscount,Aero Eslava,1958,Multi Turboprop Engines,Rolls-Royce Dart 510,Landing (descent or approach),Ferry,Mountains,"Mexico City, Federal District of Mexico City",Mexico,Central America,23.6585116,-102.0077097,Destroyed,4,4,0,Human factor
1992-07-28,Accident,Learjet 25,Crasa Taxi Aéreo,1972,Multi Jet Engines,Unknown,Flight,Charter/Taxi (Non Scheduled Revenue Flight),"Plain, Valley","Iguape, São Paulo",Brazil,South America,-24.7042692,-47.5563733,Destroyed,6,6,0,Human factor
1992-07-29,Unknown,Cessna 207 Skywagon/Stationair,Gulf Air Taxi,1974,Unknown,Unknown,Landing (descent or approach),Positioning,Airport (less than 10 km from airport),"Yakutat, Alaska",United States of America,North America,59.572734499999996,-139.57831243878087,Unknown,1,1,0,Human factor
1992-07-30,Unknown,De Havilland DHC-2 Beaver,Bristol Bay Lodge,1956,Unknown,Unknown,Flight,Charter/Taxi (Non Scheduled Revenue Flight),Mountains,"Dillingham, Alaska",United States of America,North America,59.0398598,-158.4604177,Unknown,7,6,0,Human factor
1992-07-30,Accident,Lockheed L-1011 TriStar,Trans World Airlines - TWA,1972,Multi Jet Engines,Rolls-Royce RB211-22B,Takeoff (climb),Scheduled Revenue Flight,Airport (less than 10 km from airport),"New York-JFK, New York",United States of America,North America,40.642947899999996,-73.7793733748521,Destroyed,292,0,0,Technical failure
1992-07-31,Unknown,Grumman E-2C Hawkeye,United States Navy - USN,1973,Unknown,Unknown,Flight,Training,"Lake, Sea, Ocean, River","Atlantic Ocean, All World",World,World,33.9744819,-118.269835,Unknown,5,5,0,Unknown
1992-07-31,Unknown,Lockheed C-130 Hercules,United States Marine Corps (USMC),1962,Unknown,Unknown,Takeoff (climb),Military,"Lake, Sea, Ocean, River","Keesler AFB, Mississippi",United States of America,North America,30.4094294,-88.91886496725886,Unknown,0,0,0,Unknown
1992-07-31,Accident,Airbus A310,Thai Airways International,1987,Multi Jet Engines,General Electric CF6-80C2A2,Landing (descent or approach),Scheduled Revenue Flight,Mountains,"Kathmandu, Bagmati",Nepal,Asia,27.708317,85.3205817,Destroyed,113,113,0,Human factor
1992-07-31,Accident,Yakovlev Yak-42,China General Aviation Corporation - CGAC,1992,Multi Jet Engines,Lotarev D-36,Takeoff (climb),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Nankin, Jiangsu",China,Asia,32.0438284,118.7788631,Destroyed,126,107,0,Human factor
1992-08-06,Unknown,Beechcraft 90 King Air,Jabil Circuit Company,1971,Unknown,Unknown,Landing (descent or approach),Executive/Corporate/Business,"Lake, Sea, Ocean, River","Pontiac-Oakland County, Michigan",United States of America,North America,42.6389216,-83.2910468,Unknown,1,0,0,Human factor
1992-08-07,Unknown,Cessna 340,Marketplace America,1972,Unknown,Unknown,Flight,Private,"Plain, Valley","Falmouth, Kentucky",United States of America,North America,38.6767366,-84.3304592,Unknown,1,1,0,Human factor
1992-08-10,Unknown,Cessna 441 Conquest,Air Travel Services,1978,Unknown,Unknown,Takeoff (climb),Executive/Corporate/Business,Airport (less than 10 km from airport),"Gainesville-Lee Gilmer, Georgia",United States of America,North America,39.7837304,-100.445882,Unknown,1,0,0,Human factor
1992-08-16,Unknown,Piper PA-31-310 Navajo,Copenhagen Airtaxi,1974,Unknown,Unknown,Landing (descent or approach),Charter/Taxi (Non Scheduled Revenue Flight),"Lake, Sea, Ocean, River","Karlstad, Värmland",Sweden,Europe,59.3809146,13.5027631,Unknown,8,5,0,Technical failure
1992-08-18,Unknown,Beechcraft 90 King Air,Maeda Taxi Aéreo,1984,Unknown,Unknown,Landing (descent or approach),Charter/Taxi (Non Scheduled Revenue Flight),Airport (less than 10 km from airport),"Navegantes-Itajaí, Santa Catarina",Brazil,South America,-26.9007815,-48.655372150000005,Unknown,4,4,0,Human factor
1992-08-20,Unknown,Piper PA-31-310 Navajo,Finnish Government,1976,Unknown,Unknown,Landing (descent or approach),Survey / Patrol / Reconnaissance,"Lake, Sea, Ocean, River","Oulu, Northern Ostrobothnia",Finland,Europe,65.0118734,25.4716809,Unknown,2,0,0,Technical failure
1992-08-20,Unknown,PZL-Mielec AN-2,Yugavia,1983,Unknown,Unknown,Flight,Spraying (Agricultural),"Plain, Valley","Leninsky, Krasnodar Krai",Russia,Asia,64.6863136,97.7453061,Unknown,1,0,0,Technical failure
1992-08-21,Accident,Convair CV-440 Metropolitan,Servicios Aéreos Santa Ana - SASA,1957,Multi Piston Engines,Unknown,Landing (descent or approach),Cargo,Mountains,"Mt Chacaltaya, La Paz",Bolivia,South America,-16.484238150000003,-68.14476529669767,Destroyed,10,10,0,Human factor
1992-08-21,Accident,De Havilland DHC-3 Otter,Air Saguenay,1953,1 Piston engine,Unknown,Flight,Charter/Taxi (Non Scheduled Revenue Flight),Mountains,"Schefferville, Quebec",Canada,North America,54.8005133,-66.820626,Destroyed,7,0,0,Human factor
1992-08-22,Unknown,Beechcraft 80 Queen Air,J. Guzman,1963,Unknown,Unknown,Flight,Private,"Plain, Valley","La Ponderosa, Beni",Bolivia,South America,-17.0568696,-64.9912286,Unknown,0,0,0,Unknown
1992-08-22,Unknown,Socata TBM-700,Stage Aviation,1992,Unknown,Unknown,Landing (descent or approach),Private,Airport (less than 10 km from airport),"South Lake Tahoe, California",United States of America,North America,38.9332411,-119.9843482,Unknown,3,0,0,Human factor
1992-08-23,Accident,BAc 111,Kabo Air,1968,Multi Jet Engines,Rolls-Royce Spey 506-14D,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Sokoto, Sokoto",Nigeria,Africa,13.0610588,5.2373194,Destroyed,57,0,0,Human factor
1992-08-25,Accident,Swearingen SA227 Metro III,Lone Star Airlines,1983,Multi Turboprop Engines,Garrett TPE331-611,Takeoff (climb),Test,Airport (less than 10 km from airport),"Hot Springs, Arkansas",United States of America,North America,34.5038393,-93.0552437,Destroyed,3,3,0,Human factor
1992-08-26,Unknown,Beechcraft 90 King Air,Isleña Airlines - Isleña de Inversiones,1973,Unknown,Unknown,Landing (descent or approach),Charter/Taxi (Non Scheduled Revenue Flight),Airport (less than 10 km from airport),"Palacios, Gracias a Dios",Honduras,Central America,15.9455512,-84.9277586,Unknown,5,0,0,Human factor
1992-08-27,Unknown,Cessna 402,Global Air Enterprises,1973,Unknown,Unknown,Takeoff (climb),Humanitarian,City,"North Perry, Florida",United States of America,North America,26.0022367,-80.23952288093145,Unknown,3,2,0,Human factor
1992-08-27,Unknown,Tupolev TU-134,Aeroflot - Russian International Airlines,1977,Unknown,Unknown,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Ivanovo-Yuzhny, Ivanovo oblast",Russia,Asia,56.941138,40.938972708101915,Unknown,84,84,0,Human factor
1992-08-27,Unknown,Fairchild C-123 Provider,Salvadorian Air Force - Fuerza Aérea Salvadoreña,1955,Unknown,Unknown,Flight,Skydiving / Paratroopers,Mountains,"Metapán, Santa Ana",Salvador,Central America,14.30784605,-89.40645939914891,Unknown,14,14,0,Technical failure
1992-08-27,Accident,De Havilland DHC-4 Caribou,NewCal Aviation,1965,Multi Piston Engines,Pratt & Whitney Canada PT6A-67R,Takeoff (climb),Test,Airport (less than 10 km from airport),"Gimli, Manitoba",Canada,North America,50.6323125,-96.9881076,Destroyed,3,3,0,Technical failure
1992-08-27,Accident,Beechcraft 200 Super King Air,Indian Government,1987,Unknown,Unknown,Takeoff (climb),Training,Airport (less than 10 km from airport),"New Delhi-Indira Gandhi, National Capital Territory of Delhi",India,Asia,28.555524,77.0851248,Destroyed,1,1,0,Unknown
1992-08-27,Accident,De Havilland DHC-6 Twin Otter,Transportes Aéreos Nacionales de la Selva - TANS,1971,Multi Turboprop Engines,Pratt & Whitney Canada PT6A-27,Flight,Scheduled Revenue Flight,"Plain, Valley","El Estrecho, Loreto",Peru,South America,-2.4499136,-72.6718477,Destroyed,21,8,0,Technical failure
1992-08-28,Unknown,Alekseev A-90 Orlyonok,Russian Navy - Voyenno-morskoy Flot Rossii,1979,Unknown,Unknown,Takeoff (climb),Test,"Lake, Sea, Ocean, River","Caspian Sea, All World",World,World,33.9744819,-118.269835,Unknown,0,0,0,Unknown
1992-08-28,Accident,Vickers Viscount,Bouraq Indonesia Airlines,1963,Multi Turboprop Engines,Rolls-Royce Dart 525F,Takeoff (climb),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Banjarmasin-Syamsudin Noor, South Kalimantan",Indonesia,Asia,-2.4833826,117.8902853,Destroyed,77,0,0,Technical failure
1992-08-29,Accident,BAc 111,Hold-Trade Air,1965,Multi Jet Engines,Rolls-Royce Spey 506-14,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Kaduna-Intl, Kaduna",Nigeria,Africa,10.6068455,7.466895778473567,Destroyed,73,0,0,Human factor
1992-08-29,Accident,Tupolev TU-134,Aeroflot - Russian International Airlines,1973,Multi Jet Engines,Unknown,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Kharkiv-Osnova, Kharkiv oblast",Ukraine,Europe,49.4871968,31.2718321,Destroyed,58,0,0,Human factor
1992-08-31,Accident,Douglas DC-3,Professional Aviation Services,1945,Unknown,Pratt & Whitney Canada PT6A-65AR,Takeoff (climb),Charter/Taxi (Non Scheduled Revenue Flight),Airport (less than 10 km from airport),"Jamba, Cuando Cubango",Angola,Africa,-17.507609,22.726622,Destroyed,17,3,0,Human factor
1992-09-03,Unknown,Aeritalia G.222,Italian Air Force - Aeronautica Militare Italiana,1978,Multi Turboprop Engines,Unknown,Landing (descent or approach),Humanitarian,Mountains,"Sarajevo, East Herzegovina",Bosnia and Herzegovina,Europe,44.3053476,17.5961467,Destroyed,4,4,0,"Terrorism act, hijacking, sabotage, any kind of hostile action"
1992-09-04,Unknown,Cessna 425 Conquest,Marina Aeroservice,1982,Unknown,Unknown,Landing (descent or approach),Ferry,"Lake, Sea, Ocean, River","Málaga, Andalusia",Spain,Europe,36.7213028,-4.4216366,Unknown,1,0,0,Technical failure
1992-09-05,Accident,Tupolev TU-154,Air Ukraine (Avialinii Ukrainy),1978,Multi Jet Engines,Kuznetsov NK-8-2U,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Kiev-Borispol, Kiev oblast",Ukraine,Europe,49.4871968,31.2718321,Destroyed,147,0,0,Technical failure
1992-09-05,Unknown,Piper PA-60 Aerostar (Ted Smith 600),Potomac Imaging Associates,1981,Unknown,Unknown,Landing (descent or approach),Private,Airport (less than 10 km from airport),"Georgetown-Sussex County, Delaware",United States of America,North America,38.6900507,-75.3858753,Unknown,3,3,0,Human factor
1992-09-07,Unknown,Beechcraft C-45 Expeditor,EXA,1951,Unknown,Unknown,Takeoff (climb),Skydiving / Paratroopers,Airport (less than 10 km from airport),"Hinckley, Illinois",United States of America,North America,41.7689183,-88.640913,Unknown,12,12,0,Human factor
1992-09-08,Unknown,Piper PA-61 Aerostar (Ted Smith 601),Miami Valley Services,1980,Unknown,Unknown,Flight,Executive/Corporate/Business,"Plain, Valley","Aurora, Indiana",United States of America,North America,39.0570022,-84.9013402,Unknown,1,1,0,Human factor
1992-09-10,Accident,Fokker F27 Friendship,Expresso Aéreo,1976,Multi Turboprop Engines,Rolls-Royce Dart 532,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Bellavista-Huallaga, San Martín",Peru,South America,-7.0691712,-76.58158421238706,Destroyed,43,1,0,Human factor
1992-09-11,Unknown,Mitsubishi MU-2 Marquise,Solar Sources,1980,Unknown,Unknown,Takeoff (climb),Executive/Corporate/Business,Airport (less than 10 km from airport),"Greenwood-Indy South, Indiana",United States of America,North America,39.615636300000006,-86.07611787619506,Unknown,5,5,0,Human factor
1992-09-14,Accident,Yakovlev Yak-40,Yakutavia,1974,Multi Jet Engines,Ivchenko AI-25,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Neryungri, Republic of Yakutia (Sakha)",Russia,Asia,64.6863136,97.7453061,Destroyed,28,0,0,Technical failure
1992-09-18,Accident,PZL-Mielec AN-2,Dalavia - Dal'nevostochny Avialinii,1985,1 Piston engine,Unknown,Landing (descent or approach),Cargo,"Lake, Sea, Ocean, River","Ekimchan, Amur oblast",Russia,Asia,53.068481,132.940369,Destroyed,2,0,0,Technical failure
1992-09-18,Accident,Swearingen SA227 Metro III,Fairchild Aircraft Corporation,1981,Multi Turboprop Engines,Garrett TPE331-11U,Landing (descent or approach),Test,Airport (less than 10 km from airport),"San Antonio, Texas",United States of America,North America,29.4246002,-98.4951405,Substantial,2,0,0,Human factor
1992-09-18,Accident,Douglas C-118 Liftmaster,AeroEjecutivos,1955,Multi Piston Engines,Unknown,Flight,Cargo,"Lake, Sea, Ocean, River","Caribbean Sea, All World",World,World,33.9744819,-118.269835,Destroyed,3,3,0,Weather
1992-09-19,Unknown,Pilatus PC-6 (Porter & Turbo Porter),Ecuadorian Air Force - Fuerza Aérea Ecuatoriana,1975,Unknown,Unknown,Landing (descent or approach),Military,Airport (less than 10 km from airport),"Capahuari, Pastaza",Ecuador,South America,-2.255702,-77.0517433,Unknown,2,0,0,Human factor
1992-09-19,Accident,Curtiss C-46 Commando,AVESCA - Aerovias Especiales de Carga,1945,Multi Piston Engines,Unknown,Landing (descent or approach),Cargo,Airport (less than 10 km from airport),"Villavicencio, Meta",Colombia,South America,4.1347644,-73.6201517,Destroyed,19,11,0,Technical failure
1992-09-21,Accident,PZL-Mielec AN-2,Aeroflot - Russian International Airlines,1969,1 Piston engine,Unknown,Flight,Scheduled Revenue Flight,"Plain, Valley","Kalga, Zabaykalsky Krai",Russia,Asia,50.92355,118.899208,Destroyed,0,0,0,Unknown
1992-09-21,Accident,IAI 1124 Westwind,Air Sweden,1976,Multi Jet Engines,Garrett TFE731-3-1G,Takeoff (climb),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Umeå, Västerbotten",Sweden,Europe,63.8256568,20.2630745,Destroyed,7,0,0,Technical failure
1992-09-26,Accident,Harbin Yunsunji Y-12,Nepal Airways,1992,Multi Turboprop Engines,Pratt & Whitney Canada PT6A-27,Takeoff (climb),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Lukla-Tenzing-Hillary, Sagarmatha",Nepal,Asia,28.3780464,83.9999901,Destroyed,14,0,0,Other causes
1992-09-26,Accident,Lockheed C-130 Hercules,Nigerian Air Force,1975,Multi Turboprop Engines,Unknown,Takeoff (climb),Military,Airport (less than 10 km from airport),"Lagos-Murtala Muhammed, Lagos",Nigeria,Africa,9.6000359,7.9999721,Destroyed,159,159,0,Technical failure
1992-09-28,Accident,Airbus A300,Pakistan International Airlines - PIA,1976,Multi Jet Engines,General Electric CF6-50C2,Landing (descent or approach),Scheduled Revenue Flight,Mountains,"Kathmandu, Bagmati",Nepal,Asia,27.708317,85.3205817,Destroyed,167,167,0,Human factor
1992-10-01,Accident,Douglas DC-7,United States Forest Service - USFS,1958,Multi Piston Engines,Unknown,Flight,Fire fighting,Mountains,"Kyburz, California",United States of America,North America,38.7746298,-120.2968596,Destroyed,2,2,0,Human factor
1992-10-01,Unknown,Swearingen SA226T Merlin III,Eagle Aviation - Kenya,1971,Unknown,Unknown,Takeoff (climb),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Nairobi-Wilson, Nairobi City District",Kenya,Africa,1.4419683,38.4313975,Unknown,2,0,0,Technical failure
1992-10-04,Accident,Boeing 747-200,El Al Cargo,1979,Multi Jet Engines,Pratt & Whitney JT9D-7J,Flight,Cargo,City,"Amsterdam, North Holland",Netherlands,Europe,52.3730796,4.8924534,Destroyed,4,4,43,Technical failure
1992-10-06,Accident,BAe Jetstream 31,British Aerospace Corporation,1991,Multi Turboprop Engines,Unknown,Takeoff (climb),Training,Airport (less than 10 km from airport),"Prestwick, Ayrshire",United Kingdom,Europe,55.4982802,-4.6113017,Destroyed,2,2,0,Human factor
1992-10-06,Unknown,Rockwell Aero Commander 680,William L. Benson,1957,Unknown,Unknown,Taxiing,Test,Airport (less than 10 km from airport),"Headland, Alabama",United States of America,North America,31.351284,-85.3421559,Unknown,2,1,0,Human factor
1992-10-07,Accident,Lockheed C-130 Hercules,United States Air Force - USAF (since 1947),1964,Multi Turboprop Engines,Unknown,Flight,Training,City,"Berkeley Springs, West Virginia",United States of America,North America,39.6267975,-78.2279514,Destroyed,6,6,0,Unknown
1992-10-08,Accident,Avia 14,Wuhan Airlines - Air Wuhan,1958,Multi Piston Engines,Unknown,Flight,Scheduled Revenue Flight,Mountains,"Dingxi, Gansu",China,Asia,35.1773165,104.59362,Destroyed,35,14,0,Technical failure
1992-10-09,Accident,Antonov AN-32,Kievskoye MAP,1992,Multi Turboprop Engines,Ivchenko AI-20,Landing (descent or approach),Cargo,Airport (less than 10 km from airport),"Mogadishu, Banaadir (بنادر‎)",Somalia,Africa,2.0349312,45.3419183,Destroyed,13,1,0,Human factor
1992-10-13,Unknown,Tupolev TU-154,Belarusian Civil Aviation Administration (Belorusskoye Upravleniye Grazhdanskoy Aviatsii),1982,Unknown,Unknown,Takeoff (climb),Charter/Taxi (Non Scheduled Revenue Flight),Airport (less than 10 km from airport),"Vladivostok, Primorsky Krai",Russia,Asia,43.1150678,131.8855768,Unknown,67,0,0,Other causes
1992-10-13,Accident,Antonov AN-124,Antonov Design Bureau,1984,Multi Jet Engines,Lotarev D-18T,Flight,Test,"Plain, Valley","Kodra, Kiev oblast",Ukraine,Europe,50.591351,29.56284,Destroyed,9,8,0,Other causes
1992-10-14,Accident,PZL-Mielec AN-2,Aeroflot - Russian International Airlines,1976,1 Piston engine,Unknown,Flight,Government,Airport (less than 10 km from airport),"Kostanay, Kostanay",Kazakhstan,Asia,53.2146604,63.632607,Destroyed,3,0,0,Unknown
1992-10-15,Accident,Douglas DC-8,LAC Colombia - Lineas Aéreas del Caribe,1966,Unknown,Pratt & Whitney JT3D-3B (Q),Landing (descent or approach),Cargo,Airport (less than 10 km from airport),"Medellín-Enrique Olaya Herrera, Antioquia",Colombia,South America,4.099917,-72.9088133,Destroyed,3,0,0,Unknown
1992-10-18,Accident,Casa-Nurtanio CN-235 (IPTN),Merpati Nusantara Airlines - MNA,1990,Multi Turboprop Engines,Unknown,Flight,Scheduled Revenue Flight,Mountains,"Mt Puntang, West Java",Indonesia,Asia,-6.3980551,108.16293,Destroyed,31,31,0,Human factor
1992-10-19,Accident,PZL-Mielec AN-28,Komi Avia,1988,Multi Turboprop Engines,Glushenkov TVD-10B,Takeoff (climb),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Ust-Nem, Republic of Komi",Russia,Asia,64.6863136,97.7453061,Destroyed,16,15,0,Technical failure
1992-10-19,Unknown,Rockwell Gulfstream 695 Jetprop 980,Procuraduría General de la República,1980,Unknown,Unknown,Takeoff (climb),Government,Airport (less than 10 km from airport),"Monterrey-General Mariano Escobedo, Nuevo León",Mexico,Central America,25.769081132180908,-100.29294215298499,Unknown,9,9,0,Unknown
1992-10-21,Accident,De Havilland DHC-6 Twin Otter,Transportes Aéreos Nacionales de la Selva - TANS,1973,Multi Turboprop Engines,Pratt & Whitney Canada PT6A-27,Flight,Scheduled Revenue Flight,"Lake, Sea, Ocean, River","Caballococha, Loreto",Peru,South America,-3.9067038,-70.5151509,Destroyed,11,8,0,Technical failure
1992-10-23,Accident,Embraer C-95 Bandeirante,Brazilian Air Force - Força Aérea Brasileira (1941-),1977,Multi Turboprop Engines,P&W Canada PT6A,Landing (descent or approach),Demonstration,Airport (less than 10 km from airport),"Recife, Pernambuco",Brazil,South America,-8.0584933,-34.8848193,Destroyed,5,5,0,Unknown
1992-10-25,Accident,Swearingen SA226 Metro II,Eagle Aviation - Kenya,1979,Multi Turboprop Engines,Garrett TPE331,Landing (descent or approach),Charter/Taxi (Non Scheduled Revenue Flight),Airport (less than 10 km from airport),"Mogadishu, Banaadir (بنادر‎)",Somalia,Africa,2.0349312,45.3419183,Destroyed,10,0,0,Other causes
1992-10-27,Unknown,Cessna 402,Sky Tours - Mozambique,1973,Unknown,Unknown,Flight,Charter/Taxi (Non Scheduled Revenue Flight),"Lake, Sea, Ocean, River","Malawi, All Malawi",Malawi,Africa,-13.2687204,33.9301963,Unknown,0,0,0,Technical failure
1992-10-29,Unknown,Piper PA-31-310 Navajo,Osmo Inc.,1968,Unknown,Unknown,Landing (descent or approach),Private,Airport (less than 10 km from airport),"Barranquilla-Ernesto Cortissoz (ex Soledad), Atlántico",Colombia,South America,4.099917,-72.9088133,Unknown,3,0,0,Unknown
1992-10-30,Accident,Morane-Saulnier M.S.760 Paris,French Navy (Aéronavale - Marine Nationale),1959,Multi Jet Engines,Unknown,Landing (descent or approach),Military,Airport (less than 10 km from airport),"Istres-Le Tubé, Bouches-du-Rhône",France,Europe,43.5213119,4.933458416676966,Destroyed,0,0,0,Unknown
1992-10-30,Accident,Antonov AN-8,Yuri Petrov Airlines,1960,Multi Turboprop Engines,Unknown,Landing (descent or approach),Cargo,Airport (less than 10 km from airport),"Chita-Kadala, Zabaykalsky Krai",Russia,Asia,52.02481615,113.31022128113224,Destroyed,14,14,0,Technical failure
1992-10-31,Unknown,Piper PA-42 Cheyenne,Alpine Air,1980,Unknown,Unknown,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Grand Junction, Colorado",United States of America,North America,39.0672568,-108.56448,Unknown,3,3,0,Human factor
